Dataset Variable Descritpion
CO.txt  Genotype    "Genotype"
CO.txt  Tetrad  "Tetrad ID"
CO.txt  Tetrad.CO.Event "CO ID"
CO.txt  Chr "Chromosom"
CO.txt  Chromatid1  "Chromatid1"
CO.txt  Chromatid2  "Chromatid2"
CO.txt  GC_tracLength   "Tract length of the gene conversion event"
CO.txt  GC.nbSNP    "Number of converted SNP in the gene conversion event"
CO.txt  flankingSNP.F1  "Coordinate of the flanking SNP upstream of the CO event"
CO.txt  flankingSNP.F2  "Coordinate of the flanking SNP downstream of the CO event"
CO.txt  SNP.MAP.F1  "Tetrad Genotype at the upstream non converted SNP"
CO.txt  SNP.MAP.F2  "Tetrad Genotype at the downstream non converted SNP"
CO.txt  SNP.MAP.GC  "Tetrad Genotype at the converted SNPs"
CO.txt  FlankingSNP1.Ler    "Coordinate of the upstream flanking SNP in Ler genome"
CO.txt  FlankingSNP2.Ler    "Coordinate of the downstream flanking SNP in Ler genome"
CO.txt  taille_Col  "Length of the tract conversion in Col genome"
CO.txt  Taille_Ler  "Length of the tract conversion in Ler genome"
CO.txt  difference_Col_Ler  "Difference of the tract conversion length between Col and Ler"
CO.txt  SNP_density "SNP density in the tract conversion"
CO.txt  is.complexGCCO  "is the event a complex gene conversion event"
NCO.txt Tetrad.NCO.Event    "NCO ID"
NCO.txt event.start "Coordinate of the first converted SNP of the NCO event"
NCO.txt event.stop  "Coordinate of the Last converted SNP of the NCO event"
NCO.txt nbSNP  "Number of converted SNP in the NCO event"
NCO.txt Min.Length "Minimum length of the NCO event"
NCO.txt mean.LogP  "Mean MAP score of the convertet SNP for the NCO event"
NCO.txt min.LogP    "Min MAP score of the convertet SNP for the NCO event"
NCO.txt max.LogP    "Max MAP score of the convertet SNP for the NCO event"
NCO.txt MAP "Genotype of the tetrad"
NCO.txt M1  "Genotype of the M1 individual (Chromatid1)"
NCO.txt M2  "Genotype of the M2 individual (Chromatid2)"
NCO.txt M3  "Genotype of the M3 individual (Chromatid3)"
NCO.txt M4  "Genotype of the M4 individual (Chromatid4)"
NCO.txt G   "Genotype of the Tetrad"
NCO.txt M.mean  "Mean depth of coverage of the M1, M2, M3 and M4 individuals at the converted SNP"
NCO.txt event.F.start "Coordinate of the first flanking SNP upstream for the NCO event"
NCO.txt event.F.stop "Coordinate of the last flanking SNP downstream for the NCO event"
NCO.txt medianD "Length of the tract conversion computed by the median "
NCO.txt minTL "Minimum length of the conversion tract"
NCO.txt maxTL "Maximum length of the conversion tract"
NCO.txt Conv.Ler "Length of the conversion tract in Ler genome"
NCO.txt Conv.Col "Length of the conversion tract in Col genome"

